hypothesis,coin,feature,month,period,monthly_ic
H2_engagement_quality,DOGE,musk_weighted_engagement_4h_log,2023-11-30,train,-0.10307523811147416
H2_engagement_quality,DOGE,musk_weighted_engagement_4h_log,2023-12-31,train,-0.026373142707773644
H2_engagement_quality,DOGE,musk_weighted_engagement_4h_log,2024-01-31,train,-0.03954085242783923
H2_engagement_quality,DOGE,musk_weighted_engagement_4h_log,2024-02-29,train,-0.025489178629595856
H2_engagement_quality,DOGE,musk_weighted_engagement_4h_log,2024-02-29,val,-0.041008474312095
H2_engagement_quality,DOGE,musk_weighted_engagement_4h_log,2024-03-31,val,-0.1264888726694782
H2_engagement_quality,DOGE,musk_weighted_engagement_4h_log,2024-04-30,val,0.10336455951244475
H2_engagement_quality,DOGE,musk_weighted_engagement_4h_log,2024-05-31,val,-0.10896052520707417
H2_engagement_quality,DOGE,musk_weighted_engagement_4h_log,2024-06-30,val,0.07072285246584888
H2_engagement_quality,DOGE,musk_weighted_engagement_4h_log,2024-07-31,val,0.0816758483601487
H2_engagement_quality,DOGE,musk_weighted_engagement_4h_log,2024-08-31,val,0.10375772999090954
H2_engagement_quality,DOGE,musk_weighted_engagement_4h_log,2024-09-30,val,0.037941835486299744
H2_engagement_quality,DOGE,musk_weighted_engagement_4h_log,2024-09-30,test,0.02462481952969211
H2_engagement_quality,DOGE,musk_weighted_engagement_4h_log,2024-10-31,test,-0.06787663664250125
H2_engagement_quality,DOGE,musk_weighted_engagement_4h_log,2024-11-30,test,0.031038856844460002
H2_engagement_quality,DOGE,musk_weighted_engagement_4h_log,2024-12-31,test,0.06244511326023529
H2_engagement_quality,DOGE,musk_weighted_engagement_4h_log,2025-01-31,test,0.07119430935429219
H2_engagement_quality,DOGE,musk_weighted_engagement_4h_log,2025-01-31,holdout,0.11582873695185225
H2_engagement_quality,DOGE,musk_weighted_engagement_4h_log,2025-02-28,holdout,0.03330134538232582
H2_engagement_quality,DOGE,musk_weighted_engagement_4h_log,2025-03-31,holdout,0.044872739503403855
H2_engagement_quality,DOGE,musk_weighted_engagement_4h_log,2025-04-30,holdout,-0.06688186512993423
H3_coin_specific,BTC,musk_mentions_BTC_8h,2023-01-31,train,0.0
H3_coin_specific,BTC,musk_mentions_BTC_8h,2023-02-28,train,0.0
H3_coin_specific,BTC,musk_mentions_BTC_8h,2023-03-31,train,-0.051394611728189044
H3_coin_specific,BTC,musk_mentions_BTC_8h,2023-04-30,train,0.102763430253064
H3_coin_specific,BTC,musk_mentions_BTC_8h,2023-05-31,train,0.0
H3_coin_specific,BTC,musk_mentions_BTC_8h,2023-06-30,train,0.0
H3_coin_specific,BTC,musk_mentions_BTC_8h,2023-07-31,train,0.0
H3_coin_specific,BTC,musk_mentions_BTC_8h,2023-08-31,train,0.0
H3_coin_specific,BTC,musk_mentions_BTC_8h,2023-09-30,train,0.08956738182726733
H3_coin_specific,BTC,musk_mentions_BTC_8h,2023-10-31,train,0.1152282971332125
H3_coin_specific,BTC,musk_mentions_BTC_8h,2023-11-30,train,-0.08510494999245685
H3_coin_specific,BTC,musk_mentions_BTC_8h,2023-12-31,train,-0.05266885829996233
H3_coin_specific,BTC,musk_mentions_BTC_8h,2024-01-31,train,0.0
H3_coin_specific,BTC,musk_mentions_BTC_8h,2024-02-29,train,0.0
H3_coin_specific,BTC,musk_mentions_BTC_8h,2024-02-29,val,0.0
H3_coin_specific,BTC,musk_mentions_BTC_8h,2024-03-31,val,0.13027654236177316
H3_coin_specific,BTC,musk_mentions_BTC_8h,2024-04-30,val,0.0
H3_coin_specific,BTC,musk_mentions_BTC_8h,2024-05-31,val,0.0
H3_coin_specific,BTC,musk_mentions_BTC_8h,2024-06-30,val,0.0
H3_coin_specific,BTC,musk_mentions_BTC_8h,2024-07-31,val,-0.05485704526048366
H3_coin_specific,BTC,musk_mentions_BTC_8h,2024-08-31,val,0.057715719631813225
H3_coin_specific,BTC,musk_mentions_BTC_8h,2024-09-30,val,0.0
H3_coin_specific,BTC,musk_mentions_BTC_8h,2024-09-30,test,0.0
H3_coin_specific,BTC,musk_mentions_BTC_8h,2024-10-31,test,-0.03671043694870646
H3_coin_specific,BTC,musk_mentions_BTC_8h,2024-11-30,test,0.025431682078803905
H3_coin_specific,BTC,musk_mentions_BTC_8h,2024-12-31,test,0.11783746868493876
H3_coin_specific,BTC,musk_mentions_BTC_8h,2025-01-31,test,0.16731518225022238
H3_coin_specific,BTC,musk_mentions_BTC_8h,2025-01-31,holdout,0.0
H3_coin_specific,BTC,musk_mentions_BTC_8h,2025-02-28,holdout,-0.037768875499051766
H3_coin_specific,BTC,musk_mentions_BTC_8h,2025-03-31,holdout,0.0
H3_coin_specific,BTC,musk_mentions_BTC_8h,2025-04-30,holdout,0.0
H3_coin_specific,DOGE,musk_mentions_DOGE_8h,2023-01-31,train,0.11914118828907713
H3_coin_specific,DOGE,musk_mentions_DOGE_8h,2023-02-28,train,0.0009441198790475076
H3_coin_specific,DOGE,musk_mentions_DOGE_8h,2023-03-31,train,-0.030503937019141263
H3_coin_specific,DOGE,musk_mentions_DOGE_8h,2023-04-30,train,0.018660063039397958
H3_coin_specific,DOGE,musk_mentions_DOGE_8h,2023-05-31,train,0.08778152731828004
H3_coin_specific,DOGE,musk_mentions_DOGE_8h,2023-06-30,train,-0.012334406887615779
H3_coin_specific,DOGE,musk_mentions_DOGE_8h,2023-07-31,train,-0.024101921393166942
H3_coin_specific,DOGE,musk_mentions_DOGE_8h,2023-08-31,train,-0.14411190865093113
H3_coin_specific,DOGE,musk_mentions_DOGE_8h,2023-09-30,train,0.04961346831279702
H3_coin_specific,DOGE,musk_mentions_DOGE_8h,2023-10-31,train,-0.014675717364822219
H3_coin_specific,DOGE,musk_mentions_DOGE_8h,2023-11-30,train,-0.12703333217867144
H3_coin_specific,DOGE,musk_mentions_DOGE_8h,2023-12-31,train,-0.04532489500414999
H3_coin_specific,DOGE,musk_mentions_DOGE_8h,2024-01-31,train,0.10299943275704283
H3_coin_specific,DOGE,musk_mentions_DOGE_8h,2024-02-29,train,-0.025120701459850073
H3_coin_specific,DOGE,musk_mentions_DOGE_8h,2024-02-29,val,-0.13477479259410544
H3_coin_specific,DOGE,musk_mentions_DOGE_8h,2024-03-31,val,-0.15873826469574712
H3_coin_specific,DOGE,musk_mentions_DOGE_8h,2024-04-30,val,-0.014507739666298963
H3_coin_specific,DOGE,musk_mentions_DOGE_8h,2024-05-31,val,-0.07404910243811838
H3_coin_specific,DOGE,musk_mentions_DOGE_8h,2024-06-30,val,0.07757055977859885
H3_coin_specific,DOGE,musk_mentions_DOGE_8h,2024-07-31,val,-0.12492865552409144
H3_coin_specific,DOGE,musk_mentions_DOGE_8h,2024-08-31,val,0.05686251601699795
H3_coin_specific,DOGE,musk_mentions_DOGE_8h,2024-09-30,val,0.11114487009880374
H3_coin_specific,DOGE,musk_mentions_DOGE_8h,2024-09-30,test,0.1227691189573678
H3_coin_specific,DOGE,musk_mentions_DOGE_8h,2024-10-31,test,-0.04412213644930992
H3_coin_specific,DOGE,musk_mentions_DOGE_8h,2024-11-30,test,-0.11562362117067453
H3_coin_specific,DOGE,musk_mentions_DOGE_8h,2024-12-31,test,-0.05926475396854521
H3_coin_specific,DOGE,musk_mentions_DOGE_8h,2025-01-31,test,0.11825587183776898
