hypothesis,coin,feature,date,period,rolling_ic
H1_visibility,BTC,musk_max_views_8h_log,2023-07-04 00:00:00,train,-0.028479488514629465
H1_visibility,BTC,musk_max_views_8h_log,2023-07-05 00:00:00,train,-0.020411456336218634
H1_visibility,BTC,musk_max_views_8h_log,2023-07-06 00:00:00,train,-0.03802542385398736
H1_visibility,BTC,musk_max_views_8h_log,2023-07-07 00:00:00,train,-0.022444833352531956
H1_visibility,BTC,musk_max_views_8h_log,2023-07-08 00:00:00,train,-0.02797345717524849
H1_visibility,BTC,musk_max_views_8h_log,2023-07-09 00:00:00,train,-0.025928269836824967
H1_visibility,BTC,musk_max_views_8h_log,2023-07-10 00:00:00,train,-0.06413716965443739
H1_visibility,BTC,musk_max_views_8h_log,2023-07-11 00:00:00,train,-0.023536640508182313
H1_visibility,BTC,musk_max_views_8h_log,2023-07-12 00:00:00,train,0.0034656770191399985
H1_visibility,BTC,musk_max_views_8h_log,2023-07-13 00:00:00,train,0.024213380712990853
H1_visibility,BTC,musk_max_views_8h_log,2023-07-14 00:00:00,train,0.016924149155344324
H1_visibility,BTC,musk_max_views_8h_log,2023-07-15 00:00:00,train,0.012095187355116407
H1_visibility,BTC,musk_max_views_8h_log,2023-07-16 00:00:00,train,0.04086919914226414
H1_visibility,BTC,musk_max_views_8h_log,2023-07-17 00:00:00,train,0.03743836784924477
H1_visibility,BTC,musk_max_views_8h_log,2023-07-18 00:00:00,train,0.02405779172106133
H1_visibility,BTC,musk_max_views_8h_log,2023-07-19 00:00:00,train,0.009035852412218484
H1_visibility,BTC,musk_max_views_8h_log,2023-07-20 00:00:00,train,0.019761681284867386
H1_visibility,BTC,musk_max_views_8h_log,2023-07-21 00:00:00,train,0.034876730019195334
H1_visibility,BTC,musk_max_views_8h_log,2023-07-22 00:00:00,train,-0.009511041555959826
H1_visibility,BTC,musk_max_views_8h_log,2023-07-23 00:00:00,train,0.0030321939405646525
H1_visibility,BTC,musk_max_views_8h_log,2023-07-24 00:00:00,train,0.03096719551624205
H1_visibility,BTC,musk_max_views_8h_log,2023-07-25 00:00:00,train,-0.005233215612363541
H1_visibility,BTC,musk_max_views_8h_log,2023-07-26 00:00:00,train,-0.023359879182930615
H1_visibility,BTC,musk_max_views_8h_log,2023-07-27 00:00:00,train,-0.03684825272365715
H1_visibility,BTC,musk_max_views_8h_log,2023-07-28 00:00:00,train,-0.03385505216559413
H1_visibility,BTC,musk_max_views_8h_log,2023-07-29 00:00:00,train,-0.028883964927417904
H1_visibility,BTC,musk_max_views_8h_log,2023-07-30 00:00:00,train,-0.017201373077369683
H1_visibility,BTC,musk_max_views_8h_log,2023-07-31 00:00:00,train,0.009993830473145069
H1_visibility,BTC,musk_max_views_8h_log,2023-08-01 00:00:00,train,0.014222810798131572
H1_visibility,BTC,musk_max_views_8h_log,2023-08-02 00:00:00,train,0.006998970194364643
H1_visibility,BTC,musk_max_views_8h_log,2023-08-03 00:00:00,train,0.011035425918985112
H1_visibility,BTC,musk_max_views_8h_log,2023-08-04 00:00:00,train,0.009871089671867894
H1_visibility,BTC,musk_max_views_8h_log,2023-08-05 00:00:00,train,0.03377670123845367
H1_visibility,BTC,musk_max_views_8h_log,2023-08-06 00:00:00,train,0.00685404460604479
H1_visibility,BTC,musk_max_views_8h_log,2023-08-07 00:00:00,train,0.006037197589212491
H1_visibility,BTC,musk_max_views_8h_log,2023-08-08 00:00:00,train,0.003305170073536219
H1_visibility,BTC,musk_max_views_8h_log,2023-08-09 00:00:00,train,0.02920193534912257
H1_visibility,BTC,musk_max_views_8h_log,2023-08-10 00:00:00,train,-0.004656227870647985
H1_visibility,BTC,musk_max_views_8h_log,2023-08-11 00:00:00,train,-0.011684630613615866
H1_visibility,BTC,musk_max_views_8h_log,2023-08-12 00:00:00,train,-0.03818088555050235
H1_visibility,BTC,musk_max_views_8h_log,2023-08-13 00:00:00,train,-0.0633668566660445
