hypothesis,coin,feature,month,period,monthly_ic
H4_accumulated_attention,BTC,musk_sum_views_24h_log,2025-03-31,holdout,-0.07393374475799494
H4_accumulated_attention,BTC,musk_sum_views_24h_log,2025-04-30,holdout,0.04862262336439608
H4_accumulated_attention,BTC,musk_max_engagement_24h_log,2024-02-29,val,-0.16762198804517817
H4_accumulated_attention,BTC,musk_max_engagement_24h_log,2024-03-31,val,0.07207951939344653
H4_accumulated_attention,BTC,musk_max_engagement_24h_log,2024-04-30,val,0.014362775818129664
H4_accumulated_attention,BTC,musk_max_engagement_24h_log,2024-05-31,val,0.18150898816955674
H4_accumulated_attention,BTC,musk_max_engagement_24h_log,2024-06-30,val,-0.01731832142924109
H4_accumulated_attention,BTC,musk_max_engagement_24h_log,2024-07-31,val,0.10798525815363781
H4_accumulated_attention,BTC,musk_max_engagement_24h_log,2024-08-31,val,-0.20002816588517205
H4_accumulated_attention,BTC,musk_max_engagement_24h_log,2024-09-30,val,0.13337564504015637
H4_accumulated_attention,BTC,musk_max_engagement_24h_log,2025-01-31,holdout,-0.21475956449866146
H4_accumulated_attention,BTC,musk_max_engagement_24h_log,2025-02-28,holdout,-0.2059449151475044
H4_accumulated_attention,BTC,musk_max_engagement_24h_log,2025-03-31,holdout,-0.0889492286667829
H4_accumulated_attention,BTC,musk_max_engagement_24h_log,2025-04-30,holdout,0.1273474213991202
H4_accumulated_attention,ETH,musk_sum_views_24h_log,2024-02-29,val,-0.13220753207473943
H4_accumulated_attention,ETH,musk_sum_views_24h_log,2024-03-31,val,0.06546073616275422
H4_accumulated_attention,ETH,musk_sum_views_24h_log,2024-04-30,val,0.001384503023621287
H4_accumulated_attention,ETH,musk_sum_views_24h_log,2024-05-31,val,0.14718739242124518
H4_accumulated_attention,ETH,musk_sum_views_24h_log,2024-06-30,val,-0.20994943021466755
H4_accumulated_attention,ETH,musk_sum_views_24h_log,2024-07-31,val,0.09434085685317882
H4_accumulated_attention,ETH,musk_sum_views_24h_log,2024-08-31,val,-0.2931327632834748
H4_accumulated_attention,ETH,musk_sum_views_24h_log,2024-09-30,val,0.11300902722973064
H4_accumulated_attention,ETH,musk_sum_views_24h_log,2025-01-31,holdout,-0.19336525172111443
H4_accumulated_attention,ETH,musk_sum_views_24h_log,2025-02-28,holdout,-0.02971380938250573
H4_accumulated_attention,ETH,musk_sum_views_24h_log,2025-03-31,holdout,-0.10769743737982476
H4_accumulated_attention,ETH,musk_sum_views_24h_log,2025-04-30,holdout,0.07351535396737621
H4_accumulated_attention,ETH,musk_max_engagement_24h_log,2024-02-29,val,-0.21467393105641933
H4_accumulated_attention,ETH,musk_max_engagement_24h_log,2024-03-31,val,0.10497362409942852
H4_accumulated_attention,ETH,musk_max_engagement_24h_log,2024-04-30,val,-0.00969439848054468
H4_accumulated_attention,ETH,musk_max_engagement_24h_log,2024-05-31,val,0.14654219977357213
H4_accumulated_attention,ETH,musk_max_engagement_24h_log,2024-06-30,val,-0.21706545724095191
H4_accumulated_attention,ETH,musk_max_engagement_24h_log,2024-07-31,val,0.10411583787627855
H4_accumulated_attention,ETH,musk_max_engagement_24h_log,2024-08-31,val,-0.2500343033123203
H4_accumulated_attention,ETH,musk_max_engagement_24h_log,2024-09-30,val,0.08212376403450351
H4_accumulated_attention,ETH,musk_max_engagement_24h_log,2025-01-31,holdout,-0.41091643664308214
H4_accumulated_attention,ETH,musk_max_engagement_24h_log,2025-02-28,holdout,-0.16473513854064528
H4_accumulated_attention,ETH,musk_max_engagement_24h_log,2025-03-31,holdout,-0.04148607345488145
H4_accumulated_attention,ETH,musk_max_engagement_24h_log,2025-04-30,holdout,0.14907604854892584
H4_accumulated_attention,SOL,musk_sum_views_24h_log,2024-02-29,val,-0.17278548015552847
H4_accumulated_attention,SOL,musk_sum_views_24h_log,2024-03-31,val,0.0816312193985823
H4_accumulated_attention,SOL,musk_sum_views_24h_log,2024-04-30,val,-0.18341982677800026
H4_accumulated_attention,SOL,musk_sum_views_24h_log,2024-05-31,val,0.02692488322590656
H4_accumulated_attention,SOL,musk_sum_views_24h_log,2024-06-30,val,-0.22227359772207686
H4_accumulated_attention,SOL,musk_sum_views_24h_log,2024-07-31,val,0.013816956644241317
H4_accumulated_attention,SOL,musk_sum_views_24h_log,2024-08-31,val,-0.1749516677215253
H4_accumulated_attention,SOL,musk_sum_views_24h_log,2024-09-30,val,-0.052842227717657606
H4_accumulated_attention,SOL,musk_sum_views_24h_log,2025-01-31,holdout,-0.08520339475463069
H4_accumulated_attention,SOL,musk_sum_views_24h_log,2025-02-28,holdout,0.05491467509547498
H4_accumulated_attention,SOL,musk_sum_views_24h_log,2025-03-31,holdout,-0.10048107687948499
H4_accumulated_attention,SOL,musk_sum_views_24h_log,2025-04-30,holdout,0.07424401262205954
H4_accumulated_attention,SOL,musk_max_engagement_24h_log,2024-02-29,val,-0.34912419765460545
H4_accumulated_attention,SOL,musk_max_engagement_24h_log,2024-03-31,val,0.10275627999458073
H4_accumulated_attention,SOL,musk_max_engagement_24h_log,2024-04-30,val,-0.21388273482171902
H4_accumulated_attention,SOL,musk_max_engagement_24h_log,2024-05-31,val,0.01363036811361893
H4_accumulated_attention,SOL,musk_max_engagement_24h_log,2024-06-30,val,-0.23567705017031132
H4_accumulated_attention,SOL,musk_max_engagement_24h_log,2024-07-31,val,0.031940556777831
H4_accumulated_attention,SOL,musk_max_engagement_24h_log,2024-08-31,val,-0.13719059454053226
H4_accumulated_attention,SOL,musk_max_engagement_24h_log,2024-09-30,val,-0.0817889604793148
H4_accumulated_attention,SOL,musk_max_engagement_24h_log,2025-01-31,holdout,-0.302304416484717
H4_accumulated_attention,SOL,musk_max_engagement_24h_log,2025-02-28,holdout,-0.27242682034558113
